run_number,rate_avg_value
49080,0
49079,0
49052,265947.7188128211
49051,269140.875939751
49050,272546.575862069
49049,
49048,266474.00030569156
49047,265113.63141553174
49046,244866.56796206895
49045,279382.0365779783
49044,290442.54543799546
49043,298908.941312101
49042,305869.1156561616
49041,316398.1551724138
49040,324962.1551724138
49039,319358.85972671915
49038,312422.1581626024
49035,329257.5855968072
49034,334928.45258259785
49033,389215.7242180909
49032,1205211.0948275863
49031,1223843.1579863864
49030,1263739.318704022
49029,1314213.518141834
49028,1366693.7578471985
49027,1288142.6242363127
49026,1436842.0583732114
49024,1100877.3803658045
49023,1024031.9717317472
49019,1789234.8190796906
49018,1919013.8589187497
49017,1822347.931194125
49016,
49015,1662677.6761828433
49013,
49012,
49011,
49010,
49009,
49008,
49007,0
49006,
49005,
49004,
49003,
49002,
49001,
48999,
48998,
48997,
48996,0
48995,0
48994,
48993,
48992,
48991,840180.9576854949
48990,854935.5810615573
48989,900401.3946731349
48988,960446.3628107691
48987,996097.1375764249
48986,1043952.290907721
48985,1122877.0124551791
48984,1196758.9433108883
48983,1299677.6657079547
48982,1399635.7115713793
48981,1529886.5646551724
48980,
48979,
48976,1654761.9712163475
48975,
48974,
48973,1761596.0464666667
48972,
48971,1041084.2563021658
48970,200677.04166666666
48967,
48952,822023.8931219536
48951,867832.4505728947
48950,
48949,931570.1530474608
48948,
48947,993016.2429339718
48946,1055941.343718262
48945,1123016.0680117817
48944,
48943,1168692.9618071008
48942,1336027.1874818944
48941,
48940,1341472.3994918643
48939,1252332.3805379309
48938,1440522.7393445696
48937,1561130.440205793
48936,2244135.70434953
48935,1863816.6753087244
48934,1903382.4691951147
48933,756940.0237498007
48932,
48931,
48930,
48929,0
48928,0
48927,
48926,
48925,
48918,877589.6154520594
48903,866877.1027137217
48902,880285.8287219115
48901,906159.0507069718
48900,929769.067230083
48899,962491.2807468991
48898,
48897,1034940.4452813016
48777,0
48776,0
48775,0
48774,0
48773,0
48772,0
48771,
48770,0
48769,0
48768,0
48767,0
48766,0
48765,
48764,0
48763,
48762,0
48761,0
48760,
48759,0
48758,0
48757,0
48756,
48755,0
48754,0
48753,
48752,
48751,
48750,0
48749,0
48748,0
48747,0
48746,896923.4421344101
48745,968452.4475140838
48744,521677.1172757827
48743,1054524.2384046686
48742,1101646.175951136
48741,1176009.716570934
48740,
48739,914759.5565057189
48738,1054632.6023236802
48737,1283462.6465517243
48736,1251707.2086982636
48735,1331783.8833475665
48734,1514575.6221669507
48733,1535621.3454166665
48732,1642875.05211432
48731,1851928.3132946845
48730,1953021.995663348
48729,736949.3374091286
48728,
48727,856805.6667286219
48726,920385.7954385779
48725,987988.156725746
48724,996435.9197643679
48723,1006669.1965221263
48722,1070451.4434470772
48721,1179670.2740493256
48720,1268713.6310264913
48719,
48718,
48717,
48716,
48715,
48711,
48710,
48708,
48707,1985298.6535419538
48706,2019314.1941535024
48705,917026.2506155985
48704,
48701,1505882.9094893243
48700,1587545.8411747129
48699,1822655.1256868695
48698,118328.92395154972
48697,
48696,
48695,0
48694,
48693,0
48692,
48691,
48690,
48689,0
48688,
48687,
48686,0
48685,
48684,
48683,
48682,
48681,
48680,
48679,
48678,
48677,
48676,
48675,
48674,
48673,
48672,0
48671,0
48670,0
48669,0
48668,0
48667,0
48666,0
48665,0
48664,0
48663,
48662,
48661,0
48660,870744.0977176388
48659,
48658,919122.0458224018
48657,941047.2060038326
48656,940615.224559746
48655,
48654,
48653,
48652,962008.4797787038
48651,
48650,
48649,
48648,
48647,
48646,
48645,1006987.8553674077
48644,1035758.8404965517
48643,1015759.9471058566
48642,
48641,
48640,1062036.5141592368
48639,1143985.706074133
48638,1197202.14843146
48637,1133393.5337811192
48636,1218922.5338878832
48635,1290979.9751833982
48634,1336165.7251056032
48633,1333309.0703941572
48632,1428417.8802879308
48631,1457863.2963984632
48630,1546762.292487931
48629,
48628,1383435.6635080462
48627,1564480.3774543104
48626,1521657.1200619412
48625,
48624,
48623,
48622,
48621,
48620,
48619,
48618,2188504.065659195
48617,
48616,
48615,0
48614,380924.70159300056
48612,1.2610079342273308
48611,
48610,
48609,
48608,
48607,
48606,
48605,
48604,
48602,
48601,
48600,0
48599,
48598,0
48597,0
48596,
48595,0
48594,0
48593,0
48592,0
48591,0
48589,0
48588,0
48587,
48586,0
48585,0
48584,
48583,0
48582,0
48581,66575.2151426724
48580,0
48579,0
48578,0
48577,0
48576,
48575,0
48574,
48573,0
48572,0
48571,0
48570,0
48569,0.01702787356321839
48568,
48567,
48566,
48565,
48564,0.00024270721966571077
48563,
48562,
48559,0
48558,0
48556,0
48554,0
48553,0
48550,0
48547,0
48546,
48545,
48544,0
48543,0
48542,0
48541,
48540,
48539,
48538,
48537,
48536,849197.6245203782
48535,795203.0434483094
48534,807582.5471746963
48533,872908.6200124291
48532,877965.1067546149
48531,900724.0807732656
48530,945612.868194125
48529,976571.9439439448
48528,931056.0328672413
48527,970672.3249123655
48526,950408.3813343347
48525,
48524,1040860.10267037
48523,1027327.173837931
48522,1026123.5090192523
48521,1053498.2288250101
48520,1090142.2981016093
48519,1117857.6267662162
48518,1172713.3698261725
48517,
48516,1199462.3533454523
48515,1133269.0335316544
48514,1272963.537418041
48513,1287289.0513348992
48512,1368362.641002264
48511,1458157.282337991
48510,1468976.8157094035
48509,
48508,
48507,
48503,
48502,
48501,877677.5412822197
48500,
48499,0
48498,0
48497,
48496,0
48495,0
48494,0
48493,
48492,0
48491,
48490,
48489,
48488,0
48486,0
48485,0
48484,
48483,0
48482,
48481,0
48479,
48475,841157.7864539953
48473,951532.0478175286
48472,
48471,837503.4326539951
48469,888909.755885452
48468,
48467,
48466,976016.91625
48465,213341.99410925928
48464,
48463,1005009.2985619932
48462,1059872.9137620172
48461,1105195.4853139913
48460,
48459,1196781.2286795976
48458,1140859.114688958
48457,1108761.1379166665
48456,1212248.4681548516
48455,1321726.060526931
48454,1412519.0741610155
48453,1515622.6356410917
48452,
48449,
48448,0.00041531398934679004
48447,1057290.5444077596
48446,921418.5311814005
48445,852437.4851596272
48444,1217208.148416092
48443,
48442,82753.24166666667
48441,965528.8964285713
48440,1079501.054088535
48439,
48438,1505188.912536269
48437,
48436,0
48435,0
48434,0
48433,458507.8760221083
48432,1369945.2148983316
48431,1285604.4336979168
48430,1428693.8479443518
48429,1583477.3793103448
48428,
48427,1426251.0237364257
48426,1500192.8202855652
48425,278876.0443609672
48424,
48423,751133.99549618
48422,758596.9781474273
48421,756125.2682517484
48420,
48419,
48418,800716.7887879506
48417,760924.0583212055
48416,845415.4079498122
48415,834157.118456796
48414,851858.4724208334
48413,842807.8325766214
48412,775624.4656486127
48410,973052.211805343
48409,979595.9355727229
48408,
48407,
48406,
48405,
48404,
48403,
48402,
48401,
48400,
48399,353282.09364442446
48398,1049563.8439040845
48397,1262729.3595890803
48396,1075367.5535275862
48395,1298709.592427792
48394,1302053.9573712298
48393,
48392,605460.1597520987
48391,0
48390,378803.5132798621
48389,0
48386,0
48384,0
48383,0
48382,0
48381,0
48380,0
48379,
48378,0
48377,0
48376,0
48375,0
48374,0
48373,
48372,0
48369,733166.4862144578
48368,763210.5399173032
48367,796136.8283036351
48366,814838.8156439249
48365,
48364,827176.5527424769
48363,
48362,
48361,831291.5295567343
48360,838836.4950430259
48359,889213.823788056
48358,652978.0300485484
48357,929216.4853535735
48356,1062737.3688687196
48355,
48354,
48353,715016.289353674
48352,831560.6769217211
48350,865594.3479408046
48349,844321.8876790461
48348,870867.8632488922
48347,908267.8094812195
48346,939186.5287130688
48345,
48344,968564.8808333335
48343,827858.3452446936
48342,1017006.9777727132
48341,1044736.964496919
48340,
48339,
48338,1005929.9034007234
48337,1109066.7299404116
48336,1070445.942274801
48335,1125489.7133265526
48334,
48333,
48332,
48331,
48330,1234305.4804005467
48329,1292037.94403228
48327,480638.6326995832
48326,694390.8657127124
48325,724973.6272438632
48324,747158.4129221732
48323,791332.1155876027
48322,852876.235645977
48321,
48320,767451.083530884
48319,
48318,857574.219443527
48317,
48316,
48315,601916.6708333333
48314,
48313,906853.4649678018
48312,967825.3385438157
48310,1055602.7069361932
48309,1097706.6269934522
48308,
48307,1076808.5906337379
48306,1056421.0421227012
48305,1157146.6803409222
48304,1257635.5078068965
48303,
48302,
48301,0
48300,883937.9837534333
48299,876174.0533037122
48298,
48297,902231.4853316091
48296,923975.7475402299
48295,907701.1100624752
48294,832663.4305717959
48293,818870.2255441016
48292,985007.6682896552
48291,880114.8322780468
48290,1016014.1287482796
48288,771013.8706438219
48287,1129628.7151416666
48286,1087305.0939350838
48284,1058302.5055467233
48283,
48282,1275281.7608146553
48281,423573.54088604695
48280,1372114.031636848
48279,
48278,
48277,
48276,
48275,0
48274,
48273,
48272,
48271,
48268,0
48267,1421355.7226500171
48266,
48265,688061.8938145621
48264,
48263,721739.9460532744
48262,738040.111647739
48261,760625.475148407
48260,751176.8383552033
48259,810558.0891680248
48258,857751.8807888438
48257,920569.1024121925
